timestamp,id,project,status,correct,final_answer,tokens,cost_usd,elapsed_s
2026-06-04T20:30:12+00:00,CYTEONTO_001,papers/CyteOnto,ok,False,Required file 'CyteOnto/notebooks/adv_tutorial/data/author_labels.csv' not found,116478,0.0366,50.2
2026-06-04T20:31:26+00:00,CYTEONTO_002,papers/CyteOnto,ok,True,stem cell,111258,0.034,46.7
2026-06-04T20:31:57+00:00,CYTEONTO_003,papers/CyteOnto,ok,True,ovum,110100,0.0328,31.5
2026-06-04T20:33:43+00:00,GWAS_EPISTASIS_BIAS_001,papers/GWAS-Epistasis-Bias,ok,True,5.0369820092655004e-08,436924,0.1238,105.4
2026-06-04T20:34:50+00:00,GWAS_EPISTASIS_BIAS_002,papers/GWAS-Epistasis-Bias,ok,True,0,67712,0.0256,67.4
2026-06-04T20:38:47+00:00,GWAS_EPISTASIS_BIAS_003,papers/GWAS-Epistasis-Bias,ok,False,0.80,514253,0.1502,237.3
2026-06-04T20:40:42+00:00,USHER_002,papers/USHER,ok,False,"EXECUTION_REQUIRED — required dataset/model files (xenium_scGPT.h5ad, scRNAseq_s",299057,0.0851,115.1
2026-06-04T20:41:49+00:00,SENTIEON_CLI_001,papers/sentieon-cli,ok,True,CONSERVATIVE,257196,0.072,66.4
2026-06-04T20:43:03+00:00,GWPROT_001,papers/GWProt,ok,True,54,325486,0.093,73.7
2026-06-04T20:43:37+00:00,GWPROT_002,papers/GWProt,ok,True,4,100670,0.0301,34.7
2026-06-04T20:44:54+00:00,LARIS_001,papers/LARIS,ok,False,EXECUTION_REQUIRED — required AnnData file 'LARIS/notebooks/04_laris_tutorial/da,448675,0.1213,77.2
2026-06-04T20:46:24+00:00,LARIS_002,papers/LARIS,ok,False,Required file 'LARIS/notebooks/04_laris_tutorial/data/LARIS_tutorial_datasets/ad,512021,0.1378,89.8
2026-06-04T20:47:24+00:00,LARIS_003,papers/LARIS,ok,False,Required file 'LARIS/notebooks/04_laris_tutorial/data/LARIS_tutorial_datasets/ad,507645,0.1345,59.3
