id,outcome,correct,steps,total_tokens,cost_usd,elapsed_seconds,run_id
V2_E1_GWAS_001,G,False,12,239919,0.0694,73.2,20260607T091952-33d68114
V2_E1_GWAS_002,B,True,10,202670,0.0611,174.0,20260606T091652-833a2d01
V2_E1_META_001,B,True,14,640225,0.1751,102.4,20260607T092239-557631d2
V2_E1_META_002,B,True,17,622508,0.1728,94.4,20260607T092423-c153cf0d
V2_E1_META_004,G?,False,11,278504,0.0779,45.6,20260607T092558-59db1487
V2_E1_META_005,G?,False,8,168153,0.0473,39.8,20260607T092644-3a1cd3d6
V2_E2_DISTORTIONS_001,G?,False,8,323169,0.0874,56.0,20260607T092727-a6b63023
V2_E2_DISTORTIONS_003,G?,False,9,345266,0.1002,64.4,20260607T092824-0e74ff1f
V2_D1_LARIS_001,G,False,14,475089,0.1281,59.7,20260607T092933-519dadcb
V2_D1_LARIS_002,G,False,12,565081,0.1499,59.0,20260607T093033-241db634
V2_D1_LARIS_003,G,False,10,313957,0.0842,35.4,20260607T093133-766752ce
V2_D1_SC_FRAMEWORK_001,G,False,11,324228,0.0903,73.7,20260607T093212-787fd8ca
V2_D2_CYTEONTO_001,G?,False,9,141533,0.04,643.8,20260607T093330-50236136
V2_D2_CYTEONTO_002,S,False,6,90083,0.0264,21.1,20260607T094415-a9d33170
V2_D2_CYTEONTO_003,S,False,8,136706,0.0389,30.6,20260607T094437-1489fecf
V2_D2_REGFORMER_001,S,False,7,231481,0.0618,48.2,20260607T094511-d043f4dd
