id,outcome,correct,steps,total_tokens,cost_usd,elapsed_seconds,run_id
V2_E1_GWAS_001,B,True,3,26521,0.0093,26.9,20260607T091957-02efa31e
V2_E1_GWAS_002,B,True,6,61015,0.0216,129.0,20260607T092025-94084f88
V2_E1_META_001,B,True,8,436060,0.1215,72.2,20260607T092238-0edf94d4
V2_E1_META_002,B,True,7,75931,0.0292,54.5,20260607T092351-30cbfb0f
V2_E1_META_004,B,True,14,168818,0.0557,85.2,20260607T092446-c208b21e
V2_E1_META_005,B,True,6,65100,0.0213,28.7,20260607T092612-831de684
V2_E2_DISTORTIONS_001,S,False,10,231245,0.0685,83.0,20260607T092645-eb7d4680
V2_E2_DISTORTIONS_003,B,True,11,226077,0.0736,198.3,20260607T092809-f870f4d6
V2_D1_LARIS_001,G,False,5,90412,0.027,33.9,20260607T093131-d5b7ca03
V2_D1_LARIS_002,G,False,12,366544,0.1015,94.8,20260607T093206-6e93eaef
V2_D1_LARIS_003,G,False,6,129170,0.0377,44.3,20260606T093209-1c2d5a72
V2_D1_SC_FRAMEWORK_001,B,True,11,173489,0.0508,177.8,20260606T093304-0efc4980
V2_D2_CYTEONTO_001,S,False,4,48552,0.0161,25.2,20260607T093943-4515e95a
V2_D2_CYTEONTO_002,S,False,4,34095,0.0117,20.9,20260607T094009-390e853e
V2_D2_CYTEONTO_003,S,False,4,34511,0.0117,20.7,20260607T094031-b6bb99b9
V2_D2_REGFORMER_001,S,False,6,96491,0.0294,40.7,20260607T094055-0aaa9216
